School,Num. of Dels
Henry M. Jackson High School,5
Inglemoor High School,10
Eastlake High School,14
Lakeside School,6
Bellarmine Preparatory School,18
Redmond High School,3
Interlake High School,19
Woodinville High School,6
Odle Middle School,3
North Creek High School,1
Summit Public Schools: Sierra,2
Inglewood Middle School,1
International Community School,11
Lake Washington Girls Middle School,8
Bothell High School,4
Seattle Academy,2
Evergreen Middle School,1
Newport High School,14
Hazen High School,1
Kentwood High School,2
Shorecrest High School,4
The Overlake School,1
Roosevelt High School,2
Rose Hill Middle School,14
Lake Washington High School,4
University Prep,1
Enumclaw High School,3
St. Francis of Assisi School,1
Hanford High School,5
Liberty High School,3
Bellevue High School,2
Cedarcrest High School,1
